species,term,mean,median,sd
19489-BET-PAP,canopy_statusTRUE,0.408675170057224,0.40840627443468,0.0121048177125799
19489-BET-PAP,dbh,0.193984348047173,0.194219169265448,0.00641313294836966
19489-BET-PAP,I(dbh^2),-0.073282279559316,-0.073325472743858,0.0026226383413634
19489-BET-PAP,annual_mean_temperature,0.3643825947992,0.364987566188683,0.0125610545795147
19489-BET-PAP,I(annual_mean_temperature^2),-0.0840107991655606,-0.0839106537724793,0.00585963316535045
19489-BET-PAP,annual_precipitation,-0.0620731257999835,-0.061950788725272,0.0107531029577292
19489-BET-PAP,I(annual_precipitation^2),0.0372295530525086,0.0373959449550963,0.00643606671762596
19489-BET-PAP,canopy_statusTRUE:annual_mean_temperature,-0.0204194511421498,-0.0199816705163642,0.00957372773247015
19489-BET-PAP,canopy_statusTRUE:I(annual_mean_temperature^2),-0.0385525305539219,-0.0385136592564075,0.00528196551862921
19489-BET-PAP,canopy_statusTRUE:annual_precipitation,0.00252840906287806,0.00236730085875842,0.00810424474190271
19489-BET-PAP,canopy_statusTRUE:I(annual_precipitation^2),-0.0109831885504798,-0.0110934779589917,0.00549088096628979
19489-BET-PAP,dbh:annual_mean_temperature,0.0106781118930126,0.0106282122407244,0.00528876636269455
19489-BET-PAP,dbh:I(annual_mean_temperature^2),-0.0147306176124682,-0.014592117191832,0.003123005885375
19489-BET-PAP,dbh:annual_precipitation,0.0253851063399613,0.0253460581347224,0.00472324472976531
19489-BET-PAP,dbh:I(annual_precipitation^2),-0.027572420652961,-0.0275993770281183,0.00308648933699726
19489-BET-PAP,I(dbh^2):annual_mean_temperature,0.00697998050869985,0.00714662826350018,0.00237723110471597
19489-BET-PAP,I(dbh^2):I(annual_mean_temperature^2),0.00659778145106354,0.00661496258986162,0.00129813241365851
19489-BET-PAP,I(dbh^2):annual_precipitation,-0.00901294263473276,-0.00897062258602102,0.00212621277908034
19489-BET-PAP,I(dbh^2):I(annual_precipitation^2),0.00201380896463684,0.00205148604997238,0.00146671946324624
28731-ACE-SAC,(Intercept),0.0910037484656729,0.0903913316147206,0.0225756666295131
28731-ACE-SAC,canopy_statusTRUE,0.230354125206071,0.230635067867458,0.0109296976053953
28731-ACE-SAC,dbh,0.402367008695818,0.402407963661412,0.00634078849141388
28731-ACE-SAC,I(dbh^2),-0.106547172368674,-0.106445206786259,0.00238580122050899
28731-ACE-SAC,annual_mean_temperature,0.0655442685617284,0.0659369948351344,0.0168201273354523
28731-ACE-SAC,I(annual_mean_temperature^2),0.0324198849518463,0.032294014800285,0.00634021141648045
28731-ACE-SAC,annual_precipitation,-0.0329796845522715,-0.0331111099315283,0.00877745784984799
28731-ACE-SAC,I(annual_precipitation^2),-0.0245599850377855,-0.0243041258719794,0.00517715284422817
28731-ACE-SAC,canopy_statusTRUE:annual_mean_temperature,-0.0591013290557433,-0.0589053795458937,0.0128072690244608
28731-ACE-SAC,canopy_statusTRUE:I(annual_mean_temperature^2),-0.00243197058222664,-0.00245433801182344,0.00612018536676068
28731-ACE-SAC,canopy_statusTRUE:annual_precipitation,0.0475962079260652,0.0477036447934776,0.00824705902709989
28731-ACE-SAC,canopy_statusTRUE:I(annual_precipitation^2),-0.0109483642852225,-0.0108544656888815,0.0055505681803732
28731-ACE-SAC,dbh:annual_mean_temperature,0.0775124204829058,0.0778189551383457,0.0076966615830303
28731-ACE-SAC,dbh:I(annual_mean_temperature^2),-0.0140620299109508,-0.0139314421083521,0.00361510370359635
28731-ACE-SAC,dbh:annual_precipitation,-0.0432931680129773,-0.0431293569273006,0.00515327746303331
28731-ACE-SAC,dbh:I(annual_precipitation^2),-0.0135082770653082,-0.0134366857689372,0.00339592026468587
28731-ACE-SAC,I(dbh^2):annual_mean_temperature,0.0116472450629597,0.0117088011638872,0.00266300776971332
28731-ACE-SAC,I(dbh^2):I(annual_mean_temperature^2),-0.004939022106996,-0.00490314443733271,0.00129536402310243
28731-ACE-SAC,I(dbh^2):annual_precipitation,0.0109057751034092,0.0108818021185669,0.00185516615938977
28731-ACE-SAC,I(dbh^2):I(annual_precipitation^2),0.00220642271668994,0.00221552027213888,0.00136573321275385
